article_text,human_headline,BART_original_headline,BART_finetuned_headline
"BRUSSELS, July 22 (Reuters) - Belgium sold 1.987 billioneuros ($2.23 billion) in an auction of its OLO bonds on Monday,with the average yield on the benchmark 10-year bond droppinginto negative territory. The debt agency said it sold the 0.90% June 2019 bond at-0.038%, compared with 0.139% when the bond was last auctionedin June. The other bond sold, the 1.25% April 2033 bond sold at ayield of 0.255%. It was last sold in March, at 0.868%. The sale brings to 24.4 billion euros the total thatdouble-A rated Belgium has sold to date. It has a target for theyear of 28 billion euros and still has two auctions planned, inSeptember and in November.($1 = 0.8916 euros)(Reporting by Philip Blenkinsop)","Belgium sells 2 bln euros of bonds, 10-year yield turns negative",the average yield on the benchmark 10-year bond dropped into negative territory. the sale brings to 24.4 billion euros the total thatdouble-a rated belgium has sold to date.,"belgium sells 1.987 bln euros in olo bonds , 10-year yield drops into negative territory"
"LONDON, July 13 (Reuters) - British wholesale gas prices rose on Friday as an outage at a gas terminal dented flows leaving the system a little undersupplied following several days of price falls. * The within-day contract rose 0.35 pence to 57.45 pence per therm at 0830 GMT. * The day-ahead price rose 0.15 pence to 57.00 p/therm. * Centrica said gas flows at North Morecambe, north west England, would be minimal between Friday and Saturday as the gas terminal undergoes maintenance work. * That outage has reduced UK domestic production by 4 million cubic metres (mcm) to 102 mcm. * Imports from Norway, exports to the Continent and domestic consumption were all broadly stable on Friday. * Flows from Norway were at 77 mcm, 1 mcm lower than on Thursday and exports along the Interconnector pipeline were nominated at 52 mcm, compared to 53 mcm on Thursday. * The system is a touch undersupplied with demand forecast at 193.0 mcm and supplies seen at 189.1 mcm, according to National Grid data. * Despite Friday's rise in the day-ahead contract, British gas is still trading at a discount to its Dutch equivalent, encouraging exports to the Continent. * Prices are expected to remain competitive versus Europe, where buyers are seeking gas after flows from Russia were reduced due to maintenance along the Yamal-Europe pipeline, expected to end on Saturday. * Day-ahead gas at the Dutch TTF hub was 0.17 euro lower at 21.93 euros per megawatt hour. * Wind generation remained very low on Friday at just 0.7 gigawatts (GW) compared to around 12 GW of capacity but that is expected to more than triple on Saturday to 2.4 GW. * The benchmark Dec-18 EU carbon price was 0.1 euro lower at 15.99 euros a tonne. (Reporting by Sabina Zawadzki. Editing by Jane Merriman)",UK GAS-Prices edge higher on outage but remain at discount to Europe,the within-day contract rose 0.35 pence to 57.45 pence per therm. the day-ahead price rose 0.15 pence to 57.00 p/therm. the system is a touch undersupplied with demand forecast at 193.0 mcm and supplies seen at 189.1 mcm.,uk gas-prices rise as north morecambe outage dents north west england flows
"ATHENS, Nov 27 (Reuters) - Greece's largest carrier Aegean Airlines said on Tuesday nine-month net earnings grew 13 percent to 80.9 million euros ($91.47 million) on improved load factors and higher sales. Aegean, a member of the Star Alliance airline group, said revenue in July-to-September rose by 5 percent to 939 million euros as its load factor improved to 83.6 percent from 82.9 percent in the same period a year earlier. ($1 = 0.8844 euros) (Reporting by Lefteris Papadimas Editing by Karolina Tagaris)",Greece's Aegean Airlines nine-month profit grows 13 percent,greece's largest carrier aegean airlines said on tuesday nine-month net earnings grew 13 percent to 80.9 million euros ($ 91.47 million) aegean is a member of the star alliance airline group.,"greece's aegean airlines 9-month net profit up 13 pct on improved load factors , higher sales"
"July 23 (Reuters) - Liverpool's new goalkeeper Alisson is ""desperate"" to play for the Merseyside club and could make his debut against Serie A side Napoli in a pre-season match on Aug. 4, manager Juergen Klopp has said. Liverpool signed Brazil international Alisson from AS Roma this month, smashing the world record for a goalkeeper in a deal worth up to 72.5 million euros ($85 million). ""He is desperate to play. He could have joined us here in America but it made absolutely no sense,"" Klopp told a news conference in Charlotte, North Carolina, where they lost a pre-season clash 3-1 against Borussia Dortmund on Sunday. ""He had a long year and as Brazil's number one, it was quite an intense year, so I sent him on holiday again... I would say he plays in Dublin (against Napoli)."" Alisson, 25, is expected to replace Loris Karius as first choice goalkeeper with the club's other keeper Simon Mignolet set to drop lower down the pecking order. Klopp defended Germany's Karius, who was blamed for two of Real Madrid's goals when the Spanish side beat Liverpool 3-1 in the Champions league final in May. ""We need a stronger squad and Loris is an outstanding goalkeeper. That is the truth. Nothing else,"" Klopp added. ""My job is together with Michael Edwards (sporting director) and Mike Gordon (president) to bring the best players who are available for Liverpool – if they fit in. That is what we have tried to do."" Liverpool next face league champions Manchester City in New York on Wednesday before taking on Manchester United in Michigan at the weekend. They then play Napoli in Dublin and Torino at Anfield. Klopp's side meet West Ham United in their first match of the season on Aug. 12. ($1 = 0.8520 euros) (Reporting by Shrivathsa Sridhar in Bengaluru; Editing by Ian Ransom)",Soccer-New Liverpool keeper Alisson desperate to play - Klopp," liverpool manager juergen k klopp says new goalkeeper alisson is ""desperate "" to play for the merseyside club. alisson could make his debut against serie a side napoli in a pre-season match on aug . 4. k klopp's side meet west ham united in their first match of the season on aug . 12.","soccer-liverpool's alisson ' desperate ' to play , could make debut against napoli -  klopp"
"SYDNEY, Oct 10 (Reuters) - Tariffs are forcing China to pay attention to U.S. concerns, according to a copy of a speech to be given by U.S. Secretary of Commerce Wilbur Ross on Thursday. Ross said the United States would have preferred not to implement tariffs against Chinese goods more than a year ago, which ignited a trade war that slowed global commerce and threatened decades-old systems, but added that it has forced Beijing into action. ""We do not love tariffs, in fact we would prefer not to use them, but after years of discussions and no action, tariffs are finally forcing China to pay attention to our concerns,"" Ross was quoted as saying in a copy of a speech seen by Reuters. Ross is on an official visit to Australia. (Reporting by Colin Packham Editing by Shri Navaratnam)","U.S. tariffs on China are working, U.S. Secretary of Commerce",u.s. secretary of commerce wilbur ross said the united states would have preferred not to implement tariffs against chinese goods more than a year ago. but added that it has forced beijing into action.,u.s . commerce secretary ross says tariffs forcing china to pay attention to u.s . concerns -  copy of speech
"    SARAJEVO, May 29 (Reuters) - Following is a summary ofBosnia's economic indicators, updated  on Wednesday with Aprilforeign currency reserves, published by the central bank.        CURRENCY RESERVES (net)    APRIL 19  MARCH 19  APRIL 18 (mln BAM - Bosnian marka)  11,787.8  11,471.6  10,978.0  NOTE: Countrywide data released by the central bank.       INDUSTRIAL OUTPUT  APRIL 19  MARCH 19  APRIL 18 Month/Month (pct)   -1.7      -0.1       -1.7 Year/Year (pct)     -5.6      -4.9        2.1  Industrial output fell 5.2 percent in January-April 2019 fromthe same period 2018.    NOTE: Countrywide data provided by the statistics office.          CONSUMER PRICES           APRIL 19  MARCH 19  APRIL 18 Month/Month (pct change)   -0.3      0.1      -0.4 Year/Year (pct change)      0.8      0.7       1.0 NOTE: Countrywide data provided by the statistics office.     TRADE      APRIL 19  MARCH   APRIL 18                      19       Imports     1.627    1.773   1.549 (mln BAM)                     Exports       954      989    977 Balance      -673     -784   -572   TRADE      JAN-APR 19    JAN-APR 18 Imports       6.238         5.938 (mln BAM)                 Exports       3.725         3.765 Balance      -2.531        -2.173  NOTE: Countrywide data provided by the statistics office.   FOREIGN        Q4 2018   Q4 2017   2018 TOTAL  2017 TOTAL INVESTMENT                                      mln BAM        131.2     140.9     799.7       808.9   NOTE: Countrywide data, including re-invested earnings, released by the central bank.             GDP growth rates                 Q4 18  Q3 18  Q4 17 Year/Year                        3.0     2.7    2.4 Qtr/Qtr                          0.3     0.8    0.2 Total (bln BAM, current prices)  8.49    8.87   8.15  NOTE: Countrywide data provided by the statistics office.                       UNEMPLOYMENT  2018  2017 Percentage    18.4  20.5 (Based on an annual survey of the labour force by thestatistics office.)                                                   RATINGS    On March 8, 2019, Standard and Poor's affirmed creditratings for Bosnia of 'B/B' long-term and short-term but revised its outlook to positive from stable.    Moody's affirmed Bosnia's B3 sovereign rating, with a stableoutlook, on Feb. 16, 2018. (1 euro = 1.9558 Bosnian marka) (Reporting by Maja Zuvela)  ",TABLE-Bosnia's April foreign currency reserves up 7.4% yr/yr,industrial output fell 5.2 percent in january-april 2019 from the same period 2018. consumer prices fell 0.3 percent month/month and 0.4 percent year/year. moody's affirmed bosnia's b3 sovereign rating with a stable outlook.,table-bosnia's april foreign currency reserves up 11.8 pct yr/yr
"VLADIVOSTOCK, Russia, Sept 12 (Reuters) - Russian Energy Minister Alexander Novak said on Wednesday that current oil prices were beneficial to producers and consumers. Novak told media at an economic conference in the Russian far eastern city of Vladivostok that no one was interested in overheating the oil market. Oil prices have pushed higher in 2018, supported by production curbs, solid demand and looming U.S. sanctions against Iran. (Reporting by Vladimir Soldatkin; Editing by Michael Perry)","Russia says current oil prices beneficial to producers and consumers, no interest in overheating market- TV","russian energy minister alexander novak says current oil prices are beneficial to producers and consumers. oil prices have pushed higher in 2018 supported by production curbs , solid demand and looming u.s . sanctions against iran.","russia's novak says current oil prices beneficial to producers , consumers"
"By Gina Cherelus NEW YORK, March 29 (Reuters) - Musicians and fans gatheredin New York City on Friday for a night of British band nostalgiamixed with calls for more inclusion of women as Janet Jackson,Stevie Nicks and The Cure were inducted into the 34th Rock andRoll Hall of Fame class. Nicks, who made history on Friday as the first womaninducted twice into the prestigious group, kicked off the nightwith a performance of some of her biggest hits, such as ""StandBack"" and ""Edge of Seventeen."" She was inducted in 1998 as amember of rock band Fleetwood Mac. ""She's so wise and serene. She sees all the romance anddrama in the world and she celebrates it,"" said singer HarryStyles, who introduced Nicks on stage for her induction. However, one of the standout moments of the evening was whenJackson, 52, took the stage and called on the Rock and Roll Hallof Fame committee to induct more female artists during theannual ceremony. She also acknowledged her musical family fortheir impact on popular culture. ""Never in a million years did I expected to follow in theirfootsteps. Tonight your baby sister has made it,"" said Jackson,who did not perform at the ceremony. ""And Rock and Roll Hall ofFame please, in 2020, induct more women."" Singer Janelle Monae dubbed Jackson the ""the legendary queenof black girl magic"" for hits such as ""What Have You Done For MeLately"" and ""Escapade"" and said she was the blueprint forcreating socially conscious music. ""We celebrate you for giving us memories that we wish wecould bottle up and save for the next lifetime,"" Monae said.""History is not complete without you, Janet."" The Rock & Roll Hall of Fame, which is located in downtownCleveland, Ohio, sends ballots to more than 1,000 artists,historians and members of the music industry to selectinductees. Artists are eligible for induction 25 years after therelease of their first recording. The 2019 list of inductees was largely dominated by Britishartists, featuring bands such as The Zombies, Roxy Music, DefLeppard and Radiohead, who did not perform during the show. The Cure performed hits such as ""Just Like Heaven,"" whileDef Leppard ended the night with a rocked-out jam session thatfeatured classics ""Photograph"" and ""Pour Some Sugar On Me."" Jackson declined to take questions from reporters and didnot mention the ""Leaving Neverland"" documentary on cable channelHBO about her late brother, Michael Jackson. The 2019 induction ceremony will be broadcast on HBO onApril 27 at 8 p.m. EDT.(Reporting by Gina CherelusEditing by Paul Tait)","British rock, female artists dominate Rock Hall of Fame induction","janet jackson,stevie nicks and the cure were inducted into the 34th rock androll hall of fame class. nicks made history on friday as the first womaninducted twice into the prestigious group. the 2019 list of inductees was largely dominated by britishartists.","janet jackson , stevie nicks , the cure inducted into rock &  roll hall of fame"
"Feb 14 (Reuters) - Australia's Woodside Petroleum Ltdon Thursday reported a 30 percent rise in annual netprofit underpinned by higher oil and gas prices and the ramp-upof the Wheatstone project. The country's top oil and gas producer posted a net profitof $1.36 billion for 2018, up from $1.07 billion last year, butlower than analysts' estimate of $1.45 billion according toRefinitiv. Woodside raised its full-year dividend by 86 percent to 91cents per share.(Reporting by Nikhil Kurian Nainan and Aditya Soni in BengaluruEditing by Susan Thomas)","Australia's Woodside Petroleum 2018 profit up, raises dividend","the country's top oil and gas producer posted a net profitof $ 1.36 billion for 2018, up from $ 1.07 billion last year. woodside raised its full-year dividend by 86 percent to 91cents per share.","australia's woodside petroleum posts 30 pct rise in 2018 profit on higher oil , gas prices"
"OSLO, Oct 24 (Reuters) - Norwegian Air has struck a deal with China's CCB Leasing to take joint ownership of a large fleet of aircraft that the budget carrier has ordered from Airbus, Oslo-listed Norwegian said on Thursday. CCB Leasing Corporation DAC (CCBLI), a wholly owned subsidiary of China Construction Bank Corp, will own 70% of the joint venture, while Norwegian Air's Arctic Aviation unit will own the remaining 30%. ""Under the terms of the agreement, the joint venture will purchase from Arctic an initial 27 Airbus A320 NEO aircraft to be delivered from 2020 to 2023,"" Norwegian said. (Reporting by Terje Solsvik; Editing by Muralikumar Anantharaman)",Norwegian Air to jointly own Airbus fleet with China Construction Bank,norwegian air has struck a deal with china's ccb leasing to take joint ownership of a large fleet of aircraft that the budget carrier has ordered from airbus. ccb leasing corporation dac ( ccbli ) will own 70 % of the joint venture.,"norwegian air , china's ccb leasing to take joint ownership of airbus a320 neo aircraft"
"By Frank Pingue Dec 4 (Reuters) - Ushering in a winning culture to the U.S. national team, still reeling from their failure to qualify for the 2018 World Cup, will take time and patience, newly-appointed men's head coach Gregg Berhalter said on Tuesday. Berhalter, who was named U.S. coach on Sunday after a year-long search for a full-time boss, spoke about wanting to see his new squad accelerate in their development, but also stressed that there is no quick fix. ""As with any team building it's a process,"" Berhalter, 45, said at his introductory news conference in New York City. ""I don't want to use that as an excuse and say eight years from now we are going to be good. ""The process has to accelerate. And when you have quality players, when you have players that have the ability to learn you can accelerate that process a little bit. ""But what I'd say is that we want to see progress. Each and every camp you should expect to see development amongst the team. That's my job."" Berhalter, who was a defender for the U.S. at both the 2002 and 2006 World Cups, joins the national team after spending the last five years with Major League Soccer side Columbus Crew, a stint that included a run to the 2015 MLS Cup Final. He succeeds Dave Sarachan, who took over on an interim basis in October 2017 after the resignation of Bruce Arena, whose failure to steer the U.S. to the 2018 World Cup was considered by some to be the worst calamity in U.S. soccer history. Berhalter's first match as coach of the U.S. team will be on Jan. 27 against Panama in Glendale, Arizona, and he will no doubt be looking at that game as a way to show signs that things are on the right track. ""I am committed to working harder every day to build a team that the fans can be proud of,"" said Berhalter. ""There is nothing more that our country wants right now than to be proud of our U.S. national team and I am committed to making it happen."" Berhalter, one of one of 33 candidates for the coaching job, has a reputation as being a teacher with an almost obsessive attention to tactical detail. Berhalter said that it was hard to truly evaluate the team that played under Sarachan, a stretch that was very much considered a rebuilding year, but that he did recognise a group of quality players, albeit ones that need better direction. ""My job and the job of this staff is to work as hard as we can and give the players belief,"" said Berhalter. ""We know they are quality players and I think with direction and belief we can achieve our goals."" (Reporting by Frank Pingue in Toronto Editing by Toby Davis)",Soccer-New U.S. coach Berhalter preaches patience to those seeking quick fix, gregg berhalter was named u.s . coach on sunday after a year-long search for a full-time boss. berhalter was a defender for the u.s . at both the 2002 and 2006 world cups. he succeeds dave sarachan who took over on an interim basis in october 2017.,"soccer-new u.s . coach berhalter says building winning culture will take time , patience"
